ident;name;latitude_deg;longitude_deg;elevation_ft
AMC;Mar de Cortés International Airport;31,35162125;-113,3058643;71
AYPY;Port Moresby Jacksons International Airport;-9,443380356;147,2200012;146
BIKF;Keflavik International Airport;63,98500061;-22,60560036;171
BKPR;Priština International Airport;42,57279968;21,03580093;1789
CYEG;Edmonton International Airport;53,30970001;-113,5800018;2373
CYHZ;Halifax / Stanfield International Airport;44,88079834;-63,50859833;477
CYOW;Ottawa Macdonald-Cartier International Airport;45,32249832;-75,66919708;374
CYQB;Quebec Jean Lesage International Airport;46,79109955;-71,39330292;244
CYUL;Montreal / Pierre Elliott Trudeau International Airport;45,47060013;-73,74079895;118
CYVR;Vancouver International Airport;49,19390106;-123,1839981;14
CYWG;Winnipeg / James Armstrong Richardson International Airport;49,90999985;-97,23989868;783
CYXU;London Airport;43,03559875;-81,15390015;912
CYYC;Calgary International Airport;51,11389923;-114,0199966;3557
CYYJ;Victoria International Airport;48,64690018;-123,4260025;63
CYYT;St. John's International Airport;47,61859894;-52,75189972;461
CYYZ;Lester B. Pearson International Airport;43,67720032;-79,63059998;569
DAAG;Houari Boumediene Airport;36,69100189;3,215409994;82
DGAA;Kotoka International Airport;5,6051898;-0,166786;205
DNAA;Nnamdi Azikiwe International Airport;9,006790161;7,263169765;1123
DNAI;Akwa Ibom International Airport;4,8725;8,093;170
DNMM;Murtala Muhammed International Airport;6,577370167;3,321160078;135
DTTA;Tunis Carthage International Airport;36,85100174;10,22719955;22
EBBR;Brussels Airport;50,90140152;4,48443985;184
EBCI;Brussels South Charleroi Airport;50,45920181;4,453820229;614
EBLG;Liège Airport;50,63740158;5,443220139;659
EDDB;Berlin-Schönefeld International Airport;52,38000107;13,52250004;157
EDDC;Dresden Airport;51,13280106;13,76720047;755
EDDF;Frankfurt am Main International Airport;50,02640152;8,543129921;364
EDDG;Münster Osnabrück Airport;52,13460159;7,684830189;160
EDDH;Hamburg Airport;53,63040161;9,988229752;53
EDDK;Cologne Bonn Airport;50,86589813;7,142739773;302
EDDL;Düsseldorf International Airport;51,28950119;6,7667799;147
